timestamp,open,high,low,close,volume,currency_volume,turnover,trades,time_iso,ohlc,is_closed,funding_rate,RSI,MACD,MACD_Signal,MACD_Histogram,BB_Upper,BB_Middle,BB_Lower,BB_Width,BB_Position,ATR,Stoch_K,Stoch_D,Williams_R,CCI,VWAP,Volume_RSI,OBV,Momentum,ROC,RSI_Oversold,RSI_Overbought,MACD_Bullish,MACD_Bearish,BB_Squeeze,BB_Breakout_Upper,BB_Breakout_Lower
1757815860000,116045.2,116053.8,116020.3,116053.7,1294,1.1157,129400,1,2025-09-14T02:11:00Z,"{'open': 116045.2, 'high': 116053.8, 'low': 116020.3, 'close': 116053.7}",True,0.0001,,,,,,,,,,0.0,,,,,,,1294,,,False,False,False,False,False,False,False
1757815920000,116053.8,116076.9,116053.8,116076.8,1006,0.867,100600,1,2025-09-14T02:12:00Z,"{'open': 116053.8, 'high': 116076.9, 'low': 116053.8, 'close': 116076.8}",True,0.0001,,,,,,,,,,0.0,,,,,,,2300,,,False,False,False,False,False,False,False
1757815980000,116076.8,116083.1,116076.8,116083.1,699,0.6021,69900,1,2025-09-14T02:13:00Z,"{'open': 116076.8, 'high': 116083.1, 'low': 116076.8, 'close': 116083.1}",True,0.0001,,,,,,,,,,0.0,,,,,,,2999,,,False,False,False,False,False,False,False
1757816040000,116083.1,116119.5,116083.1,116119.5,2309,1.9891,230900,1,2025-09-14T02:14:00Z,"{'open': 116083.1, 'high': 116119.5, 'low': 116083.1, 'close': 116119.5}",True,0.0001,,,,,,,,,,0.0,,,,,,,5308,,,False,False,False,False,False,False,False
1757816100000,116119.4,116119.4,116084.0,116084.1,1618,1.3941,161800,1,2025-09-14T02:15:00Z,"{'open': 116119.4, 'high': 116119.4, 'low': 116084.0, 'close': 116084.1}",True,0.0001,,,,,,,,,,0.0,,,,,,,3690,,,False,False,False,False,False,False,False
1757816160000,116084.1,116084.1,116076.8,116076.8,2863,2.4668,286300,1,2025-09-14T02:16:00Z,"{'open': 116084.1, 'high': 116084.1, 'low': 116076.8, 'close': 116076.8}",True,0.0001,,,,,,,,,,0.0,,,,,,,827,,,False,False,False,False,False,False,False
1757816220000,116076.8,116076.8,116047.4,116047.4,1579,1.3608,157900,1,2025-09-14T02:17:00Z,"{'open': 116076.8, 'high': 116076.8, 'low': 116047.4, 'close': 116047.4}",True,0.0001,,,,,,,,,,0.0,,,,,,,-752,,,False,False,False,False,False,False,False
1757816280000,116047.4,116047.4,116033.0,116033.0,1804,1.5547,180400,1,2025-09-14T02:18:00Z,"{'open': 116047.4, 'high': 116047.4, 'low': 116033.0, 'close': 116033.0}",True,0.0001,,,,,,,,,,0.0,,,,,,,-2556,,,False,False,False,False,False,False,False
1757816340000,116033.0,116066.8,116033.0,116049.0,2420,2.0862,242000,1,2025-09-14T02:19:00Z,"{'open': 116033.0, 'high': 116066.8, 'low': 116033.0, 'close': 116049.0}",True,0.0001,,,,,,,,,,0.0,,,,,,,-136,,,False,False,False,False,False,False,False
1757816400000,116049.0,116061.9,116049.0,116061.9,1649,1.4212,164900,1,2025-09-14T02:20:00Z,"{'open': 116049.0, 'high': 116061.9, 'low': 116049.0, 'close': 116061.9}",True,0.0001,,,,,,,,,,0.0,,,,,,,1513,,,False,False,False,False,False,False,False
1757816460000,116061.8,116061.9,116052.0,116052.0,2222,1.9144,222200,1,2025-09-14T02:21:00Z,"{'open': 116061.8, 'high': 116061.9, 'low': 116052.0, 'close': 116052.0}",True,0.0001,,,,,,,,,,0.0,,,,,,,-709,-1.6999999999970896,,False,False,False,False,False,False,False
1757816520000,116052.1,116052.1,116046.2,116046.2,351,0.3024,35100,1,2025-09-14T02:22:00Z,"{'open': 116052.1, 'high': 116052.1, 'low': 116046.2, 'close': 116046.2}",True,0.0001,,,,,,,,,,0.0,,,,,,,-1060,-30.60000000000582,,False,False,False,False,False,False,False
1757816580000,116039.2,116039.2,116039.2,116039.2,14,0.0122,1400,1,2025-09-14T02:23:00Z,"{'open': 116039.2, 'high': 116039.2, 'low': 116039.2, 'close': 116039.2}",True,0.0001,,,,,,,,,,0.0,,,,,,,-1074,-43.90000000000873,-0.012494216039643716,False,False,False,False,False,False,False
1757816640000,116039.2,116039.2,116039.2,116039.2,0,0.0,0,1,2025-09-14T02:24:00Z,"{'open': 116039.2, 'high': 116039.2, 'low': 116039.2, 'close': 116039.2}",True,0.0001,42.372000045310934,,,,,,,,,18.25,19.0524193548334,,-80.9475806451666,,116066.82440824424,38.98937435767055,-1074,-80.30000000000291,-0.03239234713569449,False,False,False,False,False,False,False
1757816700000,116039.2,116039.2,116039.2,116039.2,1,0.0009,100,1,2025-09-14T02:25:00Z,"{'open': 116039.2, 'high': 116039.2, 'low': 116039.2, 'close': 116039.2}",True,0.0001,42.372000045310934,,,,,,,,,16.946428571428573,7.167630057800103,,-92.83236994219989,,116068.51411743548,38.9996865933714,-1073,-44.90000000000873,-0.037817735742764216,False,False,False,False,False,False,False
